"DOY_int";"";"";"";"i";"j";"k"
"117.0625";"117";"104.999974400091";"42.5056482747976";"GUE_97_14.csv";"1997";"FaSy2"
"221.260416666667";"221";"4533.9999712001";"41.5969728544931";"GUE_97_14.csv";"1997";"FaSy2"
"232.270833333333";"232";"4991.99997440009";"40.4210493979028";"GUE_97_14.csv";"1997";"FaSy2"
"233.260416666667";"233";"5031.9999712001";"37.6082474226835";"GUE_97_14.csv";"1997";"FaSy2"
"234.270833333333";"234";"5069.9999712001";"35.6288691463801";"GUE_97_14.csv";"1997";"FaSy2"
"235.28125";"235";"5105.99997440009";"28.5917159763314";"GUE_97_14.csv";"1997";"FaSy2"
"240.5625";"240";"5256.99997440009";"23.596638332774";"GUE_97_14.csv";"1997";"FaSy2"
"250.479166666667";"250";"5490.9999712001";"17.9999984000046";"GUE_97_14.csv";"1997";"FaSy2"
"252.479166666667";"252";"5526.99996800011";"17.8407134017548";"GUE_97_14.csv";"1997";"FaSy2"
"253.65625";"253";"5547.99997440009";"15.0967741935485";"GUE_97_14.csv";"1997";"FaSy2"
"256.239583333333";"256";"5586.99997440009";"12.9729729729723";"GUE_97_14.csv";"1997";"FaSy2"
"256.625";"256";"5591.99997440009";"11.999961600136";"GUE_97_14.csv";"1997";"FaSy2"
"256.708333333333";"256";"5592.9999712001";"10.3783783783716";"GUE_97_14.csv";"1997";"FaSy2"
"257.479166666667";"257";"5600.9999712001";"7.64602041769407";"GUE_97_14.csv";"1997";"FaSy2"
"258.65625";"258";"5609.99997440009";"3.95875971959337";"GUE_97_14.csv";"1997";"FaSy2"
"259.666666666667";"259";"5613.9999712001";"3.88439483930314";"GUE_97_14.csv";"1997";"FaSy2"
"261.46875";"261";"5620.99997440009";"3.2";"GUE_97_14.csv";"1997";"FaSy2"
"263.65625";"263";"5627.99997440009";"0.716952949962659";"GUE_97_14.csv";"1997";"FaSy2"
"291.552083333333";"291";"5647.99997440009";"0";"GUE_97_14.csv";"1997";"FaSy2"
